;Category;Name;Place;Origin;Sowing date;Crop date;Bloom date;Sow to Crop;Crop to Bloom;Harvest
3279;9959;Окская;КОС;Россия;2004-05-07;2004-05-17;2004-06-21;10.0;36.0;125.84
3289;10043;Алтом;КОС;Россия;2004-05-07;2004-05-17;2004-06-25;10.0;40.0;390.39
3294;10388;Соер 13-91;КОС;Россия;2004-05-07;2004-05-17;2004-06-22;10.0;37.0;92.95
3304;10539;RG-20;КОС;Канада;2004-05-07;2004-05-17;2004-06-22;10.0;37.0;180.18
3314;10659;ПЭП 27;КОС;Россия;2004-05-07;2004-05-17;2004-06-23;10.0;38.0;75.79
3321;10623;Мадева;КОС;Россия;2004-05-07;2004-05-17;2004-06-22;10.0;37.0;258.83
3331;10651;ПЭП 2;КОС;Россия;2004-05-07;2004-05-17;2004-06-19;10.0;34.0;423.28
3338;10654;ПЭП 17;КОС;Россия;2004-05-07;2004-05-17;2004-06-19;10.0;34.0;87.23
3345;10655;ПЭП 18;КОС;Россия;2004-05-07;2004-05-17;2004-06-21;10.0;36.0;34.32
3352;10658;ПЭП 26;КОС;Россия;2004-05-07;2004-05-17;2004-06-22;10.0;37.0;71.5
3359;10660;ПЭП 28;КОС;Россия;2004-05-07;2004-05-17;2004-06-23;10.0;38.0;121.55
3366;10676;Степная 85;КОС;Россия;2004-05-07;2004-05-17;2004-06-23;10.0;38.0;177.32
3373;10677;Степная 90;КОС;Россия;2004-05-07;2004-05-17;2004-06-23;10.0;38.0;52.91
3380;10678;СибНИИК 15/83;КОС;Россия;2004-05-07;2004-05-17;2004-06-22;10.0;37.0;88.66
3387;5826;Fiskeby 840-7-3;КОС;Швеция;2004-05-07;2004-05-17;2004-06-22;10.0;37.0;243.1
3397;5830;Fiskeby 1040-4-2;КОС;Швеция;2004-05-07;2004-05-17;2004-06-22;10.0;37.0;195.91
3407;9659;Магева;КОС;Россия;2004-05-07;2004-05-17;2004-06-22;10.0;37.0;87.23
3417;9922;Major;КОС;Франция;2004-05-07;2004-05-17;2004-06-22;10.0;37.0;101.53
3427;9951;УСХИ 6;КОС;Россия;2004-05-07;2004-05-17;2004-06-22;10.0;37.0;161.59
3437;9953;Соер 4;КОС;Россия;2004-05-07;2004-05-17;2004-06-24;10.0;39.0;174.46
3447;9960;Светлая;КОС;Россия;2004-05-07;2004-05-17;2004-06-21;10.0;36.0;188.76
3456;10043;Алтом;КОС;Россия;2005-05-13;2005-05-21;2005-06-20;8.0;31.0;253.11
3465;10044;СибНИИСХ 6;КОС;Россия;2005-05-13;2005-05-21;2005-06-10;8.0;21.0;87.23
3473;10388;Соер 13-91;КОС;Россия;2005-05-13;2005-05-21;2005-06-14;8.0;25.0;31.46
3483;10539;RG-20;КОС;Канада;2005-05-13;2005-05-21;2005-06-14;8.0;25.0;185.9
3492;10651;ПЭП 2;КОС;Россия;2005-05-13;2005-05-21;2005-06-14;8.0;25.0;5.72
3502;10655;ПЭП 18;КОС;Россия;2005-05-13;2005-05-21;2005-06-14;8.0;25.0;0.0
3511;10659;ПЭП 27;КОС;Россия;2005-05-13;2005-05-21;2005-06-14;8.0;25.0;62.92
3520;10660;ПЭП 28;КОС;Россия;2005-05-13;2005-05-21;2005-06-14;8.0;25.0;61.49
3530;10676;Степная 85;КОС;Россия;2005-05-13;2005-05-21;2005-06-14;8.0;25.0;60.06
3539;10677;Степная 90;КОС;Россия;2005-05-13;2005-05-21;2005-06-14;8.0;25.0;12.87
3548;10678;СибНИИК 15/83;КОС;Россия;2005-05-13;2005-05-21;2005-06-14;8.0;25.0;94.38
3556;5826;Fiskeby 840-7-3;КОС;Швеция;2005-05-13;2005-05-21;2005-06-14;8.0;25.0;71.5
3561;5830;Fiskeby 1040-4-2;КОС;Швеция;2005-05-13;2005-05-21;2005-06-14;8.0;25.0;137.28
3568;9659;Магева;КОС;Россия;2005-05-13;2005-05-21;2005-06-14;8.0;25.0;81.51
3573;9951;УСХИ 6;КОС;Россия;2005-05-13;2005-05-21;2005-06-14;8.0;25.0;481.91
3581;9953;Соер 4;КОС;Россия;2005-05-13;2005-05-21;2005-06-14;8.0;25.0;215.93
3591;9959;Окская;КОС;Россия;2005-05-13;2005-05-21;2005-06-14;8.0;25.0;75.79
3599;9960;Светлая;КОС;Россия;2005-05-13;2005-05-21;2005-06-14;8.0;25.0;38.61